"N° DM","LIGNE","N°BL","Article","Quantité","CHANTIER","Date livraison","INTITULER","EE","RECEPTION"
"25-0047783","25-0047783/9/1","00117554","08806901","14","MONTEREAU","29/01/2026","DEMI-GRIFFE PENDULEE      6645","ETF","02/04/2026"
"25-0047803","25-0047803/1/1","00117554","01630899","100","MONTEREAU","29/01/2026","VIS H_ M12X45 - A4-80","ETF","02/04/2026"
"25-0047803","25-0047803/2/1","00117554","71634094","50","MONTEREAU","29/01/2026","VIS H_ M12X35","ETF","02/04/2026"
"25-0047803","25-0047803/3/1","00117554","71634875","200","MONTEREAU","29/01/2026","VIS H_ M10X30 - A4-80","ETF","02/04/2026"
"25-0047803","25-0047803/4/1","00117554","71635901","200","MONTEREAU","29/01/2026","VIS H_ M10X35 - A4-80","ETF","02/04/2026"
"25-0047803","25-0047803/5/1","00117554","71636748","200","MONTEREAU","29/01/2026","VIS H_ M10X50 - A4-80","ETF","02/04/2026"
"25-0047776","25-0047776/1/1","00117555","08826701","28","MONTEREAU","29/01/2026","ANNEAU DOUBLE           232861","ETF","02/04/2026"
"25-0047776","25-0047776/10/1","00117555","01604584","25","MONTEREAU","29/01/2026","BOULON H_M14-45_2 ECRS H GALV","ETF","02/04/2026"
"25-0047776","25-0047776/11/1","00117555","01604599","50","MONTEREAU","29/01/2026","BOULON H_M14-50_2 ECROUS H GAL","ETF","02/04/2026"
"25-0047776","25-0047776/12/1","00117555","01604653","50","MONTEREAU","29/01/2026","BOULON H_M14-80_ECROU H","ETF","02/04/2026"
"25-0047776","25-0047776/13/1","00117555","01604663","25","MONTEREAU","29/01/2026","BOULON H_M14-90_2 ECRS H GALV","ETF","02/04/2026"
"25-0047776","25-0047776/14/1","00117555","01604885","20","MONTEREAU","29/01/2026","BOULON H_M16-80_ECROU H GALV","ETF","02/04/2026"
"25-0047776","25-0047776/15/1","00117555","01601784","25","MONTEREAU","29/01/2026","BOULON H_M18-100_ECROU H GALV.","ETF","02/04/2026"
"25-0047776","25-0047776/16/1","00117555","01601891","25","MONTEREAU","29/01/2026","BOULON H_M18-180/100_2 ECRS H","ETF","02/04/2026"
"25-0047776","25-0047776/17/1","00117555","01601642","75","MONTEREAU","29/01/2026","BOULON H_M18-50_2 ECROUS H GAL","ETF","02/04/2026"
"25-0047776","25-0047776/18/1","00117555","01605280","40","MONTEREAU","29/01/2026","BOULON H_M20-130_2 ECROUS H G","ETF","02/04/2026"
"25-0047776","25-0047776/19/1","00117555","01602035","560","MONTEREAU","29/01/2026","BOULON H_M20-70_2 ECRS H GALV.","ETF","02/04/2026"
"25-0047776","25-0047776/2/1","00117555","01757687","100","MONTEREAU","29/01/2026","AXE D'ARTICULATION TETE 12-40","ETF","02/04/2026"
"25-0047776","25-0047776/20/1","00117555","08804077","56","MONTEREAU","29/01/2026","BRAS DE RAPPEL   204795R204796","ETF","02/04/2026"
"25-0047776","25-0047776/21/1","00117555","08827850","38","MONTEREAU","29/01/2026","BRIDE DE SERRAGE         33960","ETF","02/04/2026"
"25-0047776","25-0047776/22/1","00117555","08827851","18","MONTEREAU","29/01/2026","BRIDE DE SERRAGE  REPERE 33963","ETF","02/04/2026"
"25-0047776","25-0047776/23/1","00117555","08806700","2","MONTEREAU","29/01/2026","CAVALIER CABLE 104_5MM2   6646","ETF","02/04/2026"
"25-0047776","25-0047776/24/1","00117555","08805178","13","MONTEREAU","29/01/2026","CAVALIER CABLE 13_5 A 15  5439","ETF","02/04/2026"
"25-0047776","25-0047776/25/1","00117555","08806701","12","MONTEREAU","29/01/2026","CAVALIER CABLE 147MM2     6647","ETF","02/04/2026"
"25-0047776","25-0047776/26/1","00117555","08805123","1","MONTEREAU","29/01/2026","CAVALIER PR FIL CU.104    5438","ETF","02/04/2026"
